2023-2024 대상 386일 중 미완료 386일
=== 2023-06-14 완료 (125타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-15 완료 (123타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-16 완료 (132타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-17 완료 (123타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-18 완료 (139타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-20 완료 (120타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-21 완료 (123타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-22 완료 (121타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-23 완료 (118타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-24 완료 (129타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-25 완료 (79타자/28투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-27 완료 (118타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2023-06-28 완료 (121타자/63투수, player_code 없음 0명, round=kbo_r)
시간 예산 소진, 다음 실행에서 이어서 진행
이번 실행 후 남은 미완료: 296일
2023-2024 대상 386일 중 미완료 296일
=== 2023-06-30 완료 (128타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-01 완료 (117타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-02 완료 (121타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-04 완료 (50타자/26투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-05 완료 (124타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-06 완료 (120타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-07 완료 (57타자/22투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-08 완료 (126타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-09 완료 (126타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-11 완료 (27타자/7투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-12 완료 (125타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-13 완료 (76타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-15 완료 (34타자/19투수, player_code 없음 0명, round=kbo_as)
=== 2023-07-21 완료 (124타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-22 완료 (71타자/30투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-23 완료 (55타자/26투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-25 완료 (123타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-26 완료 (131타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-27 완료 (116타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-28 완료 (138타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-29 완료 (129타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2023-07-30 완료 (119타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-01 완료 (131타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-02 완료 (120타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-03 완료 (122타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-04 완료 (123타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-05 완료 (124타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-06 완료 (128타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-08 완료 (100타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-09 완료 (117타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-10 완료 (29타자/14투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-11 완료 (120타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-12 완료 (119타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-13 완료 (120타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-15 완료 (116타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-16 완료 (123타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-17 완료 (128타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-18 완료 (104타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-19 완료 (125타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-20 완료 (126타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-22 완료 (76타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-23 완료 (27타자/10투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-24 완료 (101타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-25 완료 (127타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-26 완료 (133타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-27 완료 (120타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-30 완료 (21타자/11투수, player_code 없음 0명, round=kbo_r)
=== 2023-08-31 완료 (127타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-01 완료 (123타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-02 완료 (99타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-03 완료 (129타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-04 완료 (26타자/7투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-05 완료 (109타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-06 완료 (143타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-07 완료 (136타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-08 완료 (156타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-09 완료 (257타자/92투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-10 완료 (132타자/54투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-12 완료 (100타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-13 완료 (51타자/11투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-14 완료 (54타자/17투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-15 완료 (98타자/39투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-16 완료 (31타자/11투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-17 완료 (160타자/56투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-18 완료 (56타자/21투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-19 완료 (131타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-21 완료 (137타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-22 완료 (136타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-23 완료 (106타자/31투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-24 완료 (118타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-26 완료 (25타자/12투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-27 완료 (227타자/75투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-28 완료 (117타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-29 완료 (84타자/33투수, player_code 없음 0명, round=kbo_r)
=== 2023-09-30 완료 (76타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-01 완료 (126타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-02 완료 (143타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-03 완료 (107타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-04 완료 (144타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-05 완료 (98타자/31투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-06 완료 (80타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2023-10-07 완료 (105타자/35투수, player_code 없음 0명, round=kbo_r)
